Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Greenland,GRL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,60.3977228,60.3654943,60.3736122,60.382677,60.7492784,60.6816793,60.7051774,60.7128073,60.7547014,60.7955338,60.6789163,60.7481215,66.4662364,66.4926686
Grenada,GRD,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,62.2611813,62.2453013,62.249301,61.0800679,56.0525307,51.9847503,51.9963292,52.0000877,48.3347558,49.5285739,49.4711149,49.5052139,50.4871096,52.9097782
Guam,GUM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,45.9071388,45.880798,45.8874323,45.8948404,66.2726692,66.2174152,66.236622,66.2428596,66.2771005,66.3104743,66.2151577,66.2717223,69.868063,69.890828
Guatemala,GTM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,39.5303208,38.0920971,37.8801126,38.794034,40.2148786,38.6489233,38.2011062,37.764584,36.4630344,36.2144095,36.2431283,36.8656986,34.1479496,34.5626109
Guinea,GIN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,29.6862509,28.7471183,27.595659,29.7487693,31.8794936,32.9616311,34.2602136,34.0741304,35.0462731,38.1864104,35.5546292,35.6181606,33.3576455,34.3558976
Guinea-Bissau,GNB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,32.6688858,31.6698229,27.7527609,23.8681179,23.0964586,24.2100157,23.3249881,21.3461643,27.3204445,26.4437564,26.4291034,24.4306703,21.6265568,23.1129238
Guyana,GUY,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,50.5116383,50.4644282,50.9595021,50.8820235,49.4977085,49.0374607,49.0431209,48.2036428,49.6879293,49.6980188,46.1830086,48.5670204,48.828877,49.4414102
Haiti,HTI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,20.8564123,19.8613548,20.2365991,21.7108836,13.8166815,14.9918469,14.7204045,14.5822061,17.2801048,14.6193481,14.0795218,11.2813601,12.1957638,12.2417295
Honduras,HND,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,39.1786348,39.5962185,37.9599323,35.6870041,39.6550483,40.5381315,42.9545002,43.1871557,41.0906042,41.3748835,40.0142766,38.366425,37.9968603,38.5482305
"Hong Kong SAR, China",HKG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,82.5654922,82.8937948,87.9288685,84.9973636,87.2393135,87.1331142,88.4228788,88.8012828,89.0713485,88.0664602,82.2846467,82.9288776,83.2935774,81.2341077
Hungary,HUN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,60.0989829,60.4591445,59.7453351,62.4481433,64.2948896,62.6125464,62.1375212,63.1557792,63.5105529,61.5257209,65.3557593,66.5888485,64.1294133,61.9606214
Iceland,ISL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,79.0750865,79.0201357,79.9801881,81.0625648,78.5234168,78.4585166,78.2310332,79.8959488,82.1325789,82.0552286,81.745221,86.3507296,83.0927402,83.2339776
India,IND,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,49.1209884,49.9282691,49.6146448,50.199062,51.0781048,59.0568048,58.6538119,58.1999807,61.0922301,61.1691545,58.1320686,56.0073078,57.9369129,59.5575797
